OBJECTID,name,introduction,difficulty,bikingTime,hasAlerts,introductionThumbnail,mountainBikingTrackWebPage,dateLoadedToGIS,Shape__Length
119331,Globe Hill Track,This track is for both trampers and mountain bikers. It connects the Reefton township with the Globe Progress Mine site.,Intermediate,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7b60701b3c724f79aeaaf80a20c31ce4.aspx,https://www.doc.govt.nz/link/8389b924f1ff45819636d10b82677207.aspx,12/2/2025 8:41:20 AM,9215.15772592821
119332,Union Creek Track,Visit Union Creek rock stack. A landform that consists of excess rock from mining operations. It's contoured and planted with native vegetation to mimic the surrounding landscape.,Advanced,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/2f8d7d1a42e348fba745c1f12ff03853.aspx,https://www.doc.govt.nz/link/ed2b5906dce04478901d924dc9937173.aspx,12/2/2025 8:41:20 AM,1802.20816377732
119333,Glen Dene Ridge Track,Cross the undulating skyline ridge on Glen Dene Ridge Track.,Expert,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9442d184db20432b9fa6383e06a1c0a6.aspx,https://www.doc.govt.nz/link/00b6f33d80454259aaea0efdeb8434c8.aspx,12/2/2025 8:41:19 AM,11495.0556029592
119334,Rameka Track,This intermediate mountain bike track can be accessed from near the Canaan Downs car park.,Intermediate,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/143eaf33e95f49caae15545432397771.aspx,12/2/2025 8:41:19 AM,5996.13557859221
119335,Gold Creek Loop,This easy mountain bike track can be accessed from the Canaan Downs car park.,Easy,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/64c86ff64c3d41d6a85ae8cff3f1d884.aspx,12/2/2025 8:41:19 AM,4606.65287477625
119336,Canaan Big Loop Bike Track,This advanced mountain bike track can be accessed from the Canaan Downs car park.,Advanced,30 min - 4 hrs,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/4b408bae64d043fa86049d55de997cfd.aspx,12/2/2025 8:41:19 AM,10755.2703898732
119337,Te Ara o Mahurangi mountain biking track,"Part of the Te Apiti – Manawatu Gorge network of tracks, Te Ara o Mahurangi is an exciting downhill mountain bike trail. This intermediate level trail takes riders on a fast-paced downhill ride through 2 km of native bush.",Intermediate,30 min ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4d4f0c5daf87453fbaf10bca5a7fe51f.jpg,https://www.doc.govt.nz/link/efa8ab9a47ce414199cf5244b27c1576.aspx,12/2/2025 8:41:19 AM,1901.80647960069
119338,Melina Ridge Track ,This is a classic mountain bike ride located in lower Ahuriri valley. ,Expert,6 - 8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5622a488e0964af286667bac9def27f7.jpg,https://www.doc.govt.nz/link/f1b498dcd0ae4d34a0aad5a49c0259f3.aspx,12/2/2025 8:41:19 AM,35792.7179260801
119339,Berwen Track,This track crosses private farmland and links the East Manuherikia 4WD Track with the Hawkdun Range.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/17a1fb3de997489f84ea731b8c1fc97a.aspx,12/2/2025 8:41:18 AM,5403.01040367074
119340,Mount Ida Water Race Track,This track follows a water race which is still in use. It has great views of the St Bathans basin and Falls Dam valley. The track is overgrown with sections of long grass and washouts.,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/300dd49025c647778a0064bde3e22cf0.aspx,12/2/2025 8:41:18 AM,18367.4807171034
119341,Homestead Track,This short track that follows an old water race.,Intermediate,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/b96e84dae1b74446bca6114c9906a02e.aspx,12/2/2025 8:41:18 AM,1677.90817292611
119342,Otamatapaio River easement,This easement leads to Manuherkia hunting area and Otamatapaio Hut.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d303d0ee2a7844e383e9588da551a67b.aspx,https://www.doc.govt.nz/link/b8fa9d16e2ec4346b580f28398acb84d.aspx,12/2/2025 8:41:18 AM,10487.1824815125
119343,Saddle Ridge Track,A rough and steep track that links the West and East Manuherikia 4WD Tracks. There are spectacular views of Aoraki Mount Cook.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/4425ab5f7d19452391180c361cea3809.aspx,12/2/2025 8:41:18 AM,10487.1824815125
